study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
Masks Can Be Distracting: On Context Comprehension in Diffusion Language Models,1,1,1,0.5,0,0,0.5,0.5
Beyond Static Cutoffs: One-Shot Dynamic Thresholding for Diffusion Language Models,1,1,0.5,1,0,0,1,0.5
dUltra: Ultra-Fast Diffusion Language Models via Reinforcement Learning,1,1,0.5,1,0,0,0.5,0.5
Seed Diffusion: A Large-Scale Diffusion Language Model with High-Speed Inference,1,1,0.5,1,0,0,0.5,0.5
MDPO: Overcoming the Training-Inference Divide of Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Towards Joint Sequence-Structure Generation of Nucleic Acid and Protein Complexes with SE(3)-Discrete Diffusion,1,1,1,1,0,0,0.5,0.5
"State Fourier Diffusion Language Model (SFDLM): A Scalable, Novel Iterative Approach to Language Modeling",1,1,1,0.5,0,0,0.5,0.5
Text-Diffusion Red-Teaming of Large Language Models: Unveiling Harmful Behaviors with Proximity Constraints,1,1,0.5,1,0,0,0,0.5
Continuous Diffusion Scales Competitively with Discrete Diffusion for Language,1,1,1,1,0,0,0.5,0.5
"Promises, Outlooks and Challenges of Diffusion Language Modeling",1,1,0.5,1,0,0,1,0.5
Simple and Effective Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Balancing Understanding and Generation in Discrete Diffusion Models,1,1,0.5,1,0,0,1,0.5
Unifying Continuous and Discrete Text Diffusion with Non-simultaneous Diffusion Processes,1,1,0.5,1,0,0,0.5,0.5
On the Role of Discreteness in Diffusion LLMs,1,1,0.5,0.5,0,0,0.5,0.5
Flow Map Language Models: One-step Language Modeling via Continuous Denoising,1,1,0.5,1,0,0,0.5,0.5
LLaDA2.0: Scaling Up Diffusion Language Models to 100B,1,1,0.5,0.5,0,0,0.5,0.5
Efficient Perplexity Bound and Ratio Matching in Discrete Diffusion Language Models,1,1,0.5,0.5,0,0,0.5,0.5
XDLM: Cross-lingual Diffusion Language Model for Machine Translation,1,1,0.5,1,0,0,0,0.5
Reasoning with Latent Tokens in Diffusion Language Models,1,1,1,1,0,0,1,0.5
AnCoder: Anchored Code Generation via Discrete Diffusion Models,1,1,0.5,1,0,0,1,0.5
Dream 7B: Diffusion Large Language Models,1,1,0.5,1,0,0,1,0.5
Dynin-Omni: Omnimodal Unified Large Diffusion Language Model,1,1,0.5,1,0,0,0.5,0.5
LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling,1,1,0.5,1,0,1,1,0.5
DiffuMask: Diffusion Language Model for Token-level Prompt Pruning,1,1,0.5,0.5,0,0,0,0.5
Diffusion Language Models Are Versatile Protein Learners,1,1,0.5,1,0,0,1,0.5
Beyond Autoregression: Fast LLMs via Self-Distillation Through Time,1,1,1,1,0,0,0.5,0.5
A Cheaper and Better Diffusion Language Model with Soft-Masked Noise,1,1,0.5,1,0,0,1,0.5
wd1: Weighted Policy Optimization for Reasoning in Diffusion Language Models,1,1,0.5,1,0,1,0.5,0.5
Leveraging Pretrained Language Models as Energy Functions for Glauber Dynamics Text Diffusion,1,1,0.5,0.5,0,0,0.5,0.5
Zonkey: A Hierarchical Diffusion Language Model with Differentiable Tokenization and Probabilistic Attention,1,1,1,1,0,0,0,0.5
"Compositional Discrete Latent Code for High Fidelity, Productive Diffusion Models",1,1,0.5,1,0,0,0.5,0.5
SSD-LM: Semi-autoregressive Simplex-based Diffusion Language Model for Text Generation and Modular Control,1,1,1,1,0,0,0.5,0.5
Adaptive Classifier-Free Guidance via Dynamic Low-Confidence Masking,1,1,0.5,1,0,1,0.5,0.5
